,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,208948695.0,1664.12461744,981763072.0,46590.0,156.489592092,6137561088.0,119795.0,150.680554003,31197.37,1073741824.0,298021116.0,0.0,0.0,154413.0,12422583.0,0.0,0.0,115265.0,0.0,2431.0,1031328204.0,1119662080.0,142544896.0,745476096.0,27.814333138988374,11.0,8932.37
1,208948707.0,1664.126414544,981763072.0,46590.0,156.489592092,6138085376.0,119867.0,150.720527205,31201.09,1073741824.0,298021714.0,0.0,0.0,154424.0,12423165.0,0.0,0.0,115276.0,0.0,2431.0,1031328706.0,1119727616.0,142577664.0,745562112.0,27.806004069345455,19.0,8932.51
2,208948715.0,1664.127727386,981763072.0,46590.0,156.489592092,6138204160.0,119886.0,150.728931541,31204.74,1073741824.0,298022490.0,0.0,0.0,154438.0,12423937.0,0.0,0.0,115290.0,0.0,2431.0,1031328710.0,1119727616.0,142577664.0,745574400.0,27.80481420225361,14.0,8932.61
3,208948723.0,1664.129925458,981763072.0,46590.0,156.489592092,6138322944.0,119900.0,150.734892115,31208.29,1073741824.0,298023076.0,0.0,0.0,154449.0,12424519.0,0.0,0.0,115301.0,0.0,2431.0,1031328715.0,1119727616.0,142610432.0,745656320.0,27.796881754974635,1.0,8932.72
4,208948731.0,1664.131103555,981763072.0,46590.0,156.489592092,6138413056.0,119913.0,150.739856677,31212.01,1073741824.0,298023712.0,0.0,0.0,154461.0,12425155.0,0.0,0.0,115313.0,0.0,2431.0,1031328719.0,1119727616.0,142610432.0,745676800.0,27.794898643154895,31.0,8932.8
5,208948739.0,1664.132266081,981763072.0,46590.0,156.489592092,6138519552.0,119930.0,150.747751815,31215.58,1073741824.0,298025328.0,0.0,0.0,154483.0,12426771.0,0.0,0.0,115335.0,0.0,2431.0,1031328720.0,1119727616.0,142643200.0,745725952.0,27.79013917478751,11.0,8932.89
6,208948750.0,1664.133882489,981763072.0,46590.0,156.489592092,6138658816.0,119948.0,150.755358595,31219.27,1073741824.0,298025852.0,0.0,0.0,154493.0,12427295.0,0.0,0.0,115345.0,0.0,2431.0,1031328724.0,1119727616.0,142675968.0,745816064.0,27.78141348278064,5.0,8932.97
7,208948758.0,1664.135004335,981763072.0,46590.0,156.489592092,6138753024.0,119961.0,150.759955474,31222.88,1073741824.0,298026322.0,0.0,0.0,154502.0,12427765.0,0.0,0.0,115354.0,0.0,2431.0,1031328726.0,1119727616.0,142548992.0,745713664.0,27.791329041879354,25.0,8933.07
8,208948767.0,1664.136572568,981763072.0,46590.0,156.489592092,6138863616.0,119979.0,150.767743245,31226.52,1073741824.0,298027074.0,0.0,0.0,154516.0,12428517.0,0.0,0.0,115368.0,0.0,2431.0,1031328726.0,1119727616.0,142581760.0,745762816.0,27.786569573511972,19.0,8933.15
9,208948775.0,1664.137732091,981763072.0,46590.0,156.489592092,6138982400.0,119993.0,150.773059585,31229.88,1073741824.0,298028166.0,0.0,0.0,154536.0,12429589.0,0.0,0.0,115388.0,0.0,2431.0,1031328726.0,1119727616.0,142614528.0,745836544.0,27.7794303709609,29.0,8933.25
10,208948783.0,1664.13911522,981763072.0,46590.0,156.489592092,6139072512.0,120006.0,150.778778394,31233.54,1073741824.0,298029836.0,0.0,0.0,154559.0,12431251.0,0.0,0.0,115411.0,0.0,2431.0,1031328729.0,1119727616.0,142647296.0,745889792.0,27.774274280229566,25.0,8933.35
11,208948791.0,1664.140225857,981763072.0,46590.0,156.489592092,6139179008.0,120023.0,150.78554675,31237.15,1073741824.0,298030754.0,0.0,0.0,154576.0,12432169.0,0.0,0.0,115428.0,0.0,2431.0,1031328733.0,1119727616.0,142553088.0,745852928.0,27.777843881505103,13.0,8933.5
12,208948803.0,1664.142021299,981763072.0,46590.0,156.489592092,6139338752.0,120042.0,150.791614952,31240.86,1073741824.0,298032879.0,0.0,0.0,154598.0,12435102.0,0.0,0.0,115450.0,0.0,2431.0,1031329389.0,1119727616.0,143093760.0,746442752.0,27.720730261096502,3.0,8933.67
13,208948811.0,1664.143820711,981763072.0,46590.0,156.489592092,6139830272.0,120140.0,150.834535529,31244.48,1073741824.0,298035216.0,0.0,0.0,154624.0,12438087.0,0.0,0.0,115474.0,0.0,2431.0,1031330038.0,1121759232.0,142872576.0,746246144.0,27.739768134566035,16.0,8933.9
14,208948819.0,1664.145054945,981763072.0,46590.0,156.489592092,6139924480.0,120153.0,150.840324392,31248.13,1073741824.0,298035810.0,0.0,0.0,154635.0,12438681.0,0.0,0.0,115485.0,0.0,2431.0,1031330040.0,1119662080.0,142905344.0,746295296.0,27.735008666198652,31.0,8933.98
15,208948827.0,1664.146361429,981763072.0,46590.0,156.489592092,6140055552.0,120171.0,150.847545892,31251.8,1073741824.0,298037724.0,0.0,0.0,154662.0,12440579.0,0.0,0.0,115512.0,0.0,2431.0,1031330043.0,1119662080.0,142544896.0,745971712.0,27.766341832950594,7.0,8934.09
