,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,207520452.0,1541.008356376,1219605504.0,59628.0,252.601332587,5700018176.0,107694.0,1710.144908685,30687.5,1073741824.0,296296904.0,0.0,0.0,147838.0,9114101.0,0.0,0.0,107795.0,0.0,2308.0,1056313878.0,1179594752.0,107347968.0,755687424.0,26.825553585664483,23.0,8576.92
1,207520462.0,1541.009683412,1219605504.0,59628.0,252.601332587,5700485120.0,107763.0,1710.526650751,30691.16,1073741824.0,296297648.0,0.0,0.0,147852.0,9114845.0,0.0,0.0,107809.0,0.0,2308.0,1056314371.0,1179598848.0,106713088.0,755126272.0,26.87989084952544,22.0,8577.03
2,207520470.0,1541.015749783,1219605504.0,59628.0,252.601332587,5700595712.0,107782.0,1710.62970166,30694.72,1073741824.0,296298080.0,0.0,0.0,147860.0,9115277.0,0.0,0.0,107817.0,0.0,2308.0,1056314373.0,1179598848.0,106745856.0,755183616.0,26.87433813643016,18.0,8577.11
3,207520478.0,1541.016823481,1219605504.0,59628.0,252.601332587,5700726784.0,107800.0,1710.74087989,30698.22,1073741824.0,296298736.0,0.0,0.0,147872.0,9115933.0,0.0,0.0,107829.0,0.0,2308.0,1056314378.0,1179598848.0,106745856.0,755191808.0,26.873544891702263,12.0,8577.2
4,207520486.0,1541.018056981,1219605504.0,59628.0,252.601332587,5700812800.0,107813.0,1710.809787611,30701.82,1073741824.0,296299330.0,0.0,0.0,147883.0,9116477.0,0.0,0.0,107839.0,0.0,2308.0,1056314378.0,1179598848.0,106778624.0,755294208.0,26.863629332603548,28.0,8577.27
5,207520496.0,1541.026127559,1219605504.0,59628.0,252.601332587,5701312512.0,107905.0,1711.366061142,30705.4,1073741824.0,296302405.0,0.0,0.0,147913.0,9125661.0,0.0,0.0,107878.0,0.0,2308.0,1056315490.0,1179598848.0,106938368.0,755523584.0,26.841418480222426,26.0,8577.42
6,207520507.0,1541.027476854,1219605504.0,59628.0,252.601332587,5701427200.0,107922.0,1711.453542793,30708.78,1073741824.0,296302949.0,0.0,0.0,147923.0,9126201.0,0.0,0.0,107888.0,0.0,2308.0,1056315492.0,1179598848.0,106971136.0,755585024.0,26.8354691447632,10.0,8577.49
7,207520515.0,1541.028421649,1219605504.0,59628.0,252.601332587,5701533696.0,107939.0,1711.577202445,30712.09,1073741824.0,296303587.0,0.0,0.0,147935.0,9126867.0,0.0,0.0,107900.0,0.0,2308.0,1056315497.0,1179598848.0,106844160.0,755503104.0,26.84340159204217,4.0,8577.58
8,207520523.0,1541.029501585,1219605504.0,59628.0,252.601332587,5701648384.0,107953.0,1711.644710913,30715.6,1073741824.0,296304235.0,0.0,0.0,147947.0,9127515.0,0.0,0.0,107912.0,0.0,2308.0,1056315497.0,1179598848.0,106876928.0,755552256.0,26.838642123674784,16.0,8577.65
9,207520531.0,1541.030548069,1219605504.0,59628.0,252.601332587,5701734400.0,107966.0,1711.702794765,30718.96,1073741824.0,296304875.0,0.0,0.0,147959.0,9128151.0,0.0,0.0,107924.0,0.0,2308.0,1056315499.0,1179598848.0,106876928.0,755576832.0,26.836262389491093,28.0,8577.74
