,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,217333486.0,1745.715010919,1290030080.0,62469.0,166.998447439,6043131904.0,111134.0,226.401917561,32085.56,1073741824.0,297383783.0,0.0,0.0,161123.0,22394763.0,0.0,0.0,115307.0,0.0,4042.0,1066024205.0,1121886208.0,162742272.0,753201152.0,27.06630336058129,9.0,8959.46
1,217333494.0,1745.716271592,1290066944.0,62473.0,167.065035863,6043615232.0,111204.0,226.440294193,32089.23,1073741824.0,297384365.0,0.0,0.0,161134.0,22395345.0,0.0,0.0,115318.0,0.0,4043.0,1066024709.0,1121886208.0,162504704.0,753078272.0,27.07820203149975,1.0,8959.66
2,217333502.0,1745.717973882,1290066944.0,62473.0,167.065035863,6043717632.0,111217.0,226.445673573,32092.89,1073741824.0,297384752.0,0.0,0.0,161141.0,22395760.0,0.0,0.0,115325.0,0.0,4043.0,1066024713.0,1121886208.0,162504704.0,753098752.0,27.076218919680006,1.0,8959.82
3,217333513.0,1745.720244629,1290066944.0,62473.0,167.065035863,6043865088.0,111238.0,226.454398468,32096.5,1073741824.0,297385604.0,0.0,0.0,161157.0,22396608.0,0.0,0.0,115341.0,0.0,4043.0,1066024714.0,1121886208.0,162537472.0,753168384.0,27.06947633949288,27.0,8959.94
4,217333521.0,1745.721656232,1290066944.0,62473.0,167.065035863,6043955200.0,111251.0,226.459759967,32100.13,1073741824.0,297386078.0,0.0,0.0,161166.0,22397078.0,0.0,0.0,115350.0,0.0,4043.0,1066024717.0,1121886208.0,162537472.0,753180672.0,27.068286472401034,21.0,8960.1
5,217333529.0,1745.723004569,1290066944.0,62473.0,167.065035863,6044078080.0,111269.0,226.46767298,32103.66,1073741824.0,297386772.0,0.0,0.0,161179.0,22397772.0,0.0,0.0,115363.0,0.0,4043.0,1066024722.0,1121886208.0,162570240.0,753266688.0,27.059957402758112,21.0,8960.25
6,217333537.0,1745.724534675,1290066944.0,62473.0,167.065035863,6044184576.0,111282.0,226.486518947,32107.38,1073741824.0,297387204.0,0.0,0.0,161187.0,22398204.0,0.0,0.0,115371.0,0.0,4043.0,1066024724.0,1121886208.0,162082816.0,752803840.0,27.104775729884306,7.0,8960.42
7,217333549.0,1745.727175694,1290066944.0,62473.0,167.065035863,6044708864.0,111383.0,226.522756141,32111.12,1073741824.0,297390669.0,0.0,0.0,161224.0,22402286.0,0.0,0.0,115403.0,0.0,4043.0,1066025141.0,1121878016.0,162082816.0,752861184.0,27.099223016789026,19.0,8960.65
8,217333557.0,1745.728798208,1290066944.0,62473.0,167.065035863,6044848128.0,111399.0,226.545086076,32114.8,1073741824.0,297391105.0,0.0,0.0,161232.0,22402718.0,0.0,0.0,115411.0,0.0,4043.0,1066025832.0,1121886208.0,162275328.0,753094656.0,27.076615542043953,25.0,8960.82
9,217333565.0,1745.730177386,1290066944.0,62473.0,167.065035863,6044938240.0,111412.0,226.551037877,32118.25,1073741824.0,297391798.0,0.0,0.0,161244.0,22403439.0,0.0,0.0,115423.0,0.0,4043.0,1066025836.0,1121886208.0,162275328.0,753111040.0,27.07502905258816,3.0,8960.95
