,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,52859.0,9.049001363,933970944.0,44881.0,190.413046756,5149036544.0,85120.0,1435.017856007,7142.75,1073741824.0,208374532.0,0.0,0.0,58746.0,4226419.0,0.0,0.0,49115.0,0.0,2176.0,17944184.0,1179598848.0,232980480.0,774668288.0,24.987605551126606,25.0,696.36
1,52865.0,9.049802322,933970944.0,44881.0,190.413046756,5149097984.0,85128.0,1435.049942987,7146.46,1073741824.0,208380428.0,0.0,0.0,58803.0,4233748.0,0.0,0.0,49166.0,0.0,2176.0,17945241.0,1179598848.0,232665088.0,774373376.0,25.016162361330906,17.0,696.52
2,52877.0,9.051617739,933970944.0,44881.0,190.413046756,5149671424.0,85240.0,1435.672093768,7150.12,1073741824.0,208392285.0,0.0,0.0,58896.0,4249085.0,0.0,0.0,49244.0,0.0,2176.0,17948492.0,1179598848.0,232402944.0,774279168.0,25.025284675701723,1.0,696.71
3,52891.0,9.053635075,933970944.0,44881.0,190.413046756,5150326784.0,85362.0,1436.375925589,7154.04,1073741824.0,208404282.0,0.0,0.0,58991.0,4264550.0,0.0,0.0,49324.0,0.0,2176.0,17951742.0,1179598848.0,232693760.0,774594560.0,24.994744753677683,13.0,696.91
4,52903.0,9.055402542,933970944.0,44881.0,190.413046756,5150715904.0,85431.0,1436.94209954,7157.83,1073741824.0,208414152.0,0.0,0.0,59072.0,4277204.0,0.0,0.0,49393.0,0.0,2176.0,17955083.0,1179598848.0,232951808.0,774868992.0,24.968171055293123,31.0,697.1
5,52907.0,9.055843172,933970944.0,44881.0,190.413046756,5151031296.0,85496.0,1437.282414092,7161.46,1073741824.0,208417189.0,0.0,0.0,59103.0,4280933.0,0.0,0.0,49421.0,0.0,2176.0,17955718.0,1179598848.0,232243200.0,774172672.0,25.03559685716439,25.0,697.21
6,52910.0,9.056328296,933970944.0,44881.0,190.413046756,5151047680.0,85499.0,1437.291825076,7165.05,1073741824.0,208418026.0,0.0,0.0,59118.0,4281794.0,0.0,0.0,49436.0,0.0,2176.0,17955719.0,1179598848.0,232275968.0,774205440.0,25.0324238782528,11.0,697.28
7,52910.0,9.056328296,933970944.0,44881.0,190.413046756,5151051776.0,85500.0,1437.295558677,7168.62,1073741824.0,208419264.0,0.0,0.0,59141.0,4283028.0,0.0,0.0,49459.0,0.0,2176.0,17955719.0,1179598848.0,232275968.0,774205440.0,25.0324238782528,13.0,697.36
8,52910.0,9.056328296,933970944.0,44881.0,190.413046756,5151051776.0,85500.0,1437.295558677,7172.03,1073741824.0,208420144.0,0.0,0.0,59157.0,4283884.0,0.0,0.0,49475.0,0.0,2176.0,17955719.0,1179598848.0,232308736.0,774238208.0,25.02925089934121,25.0,697.43
9,52910.0,9.056328296,933970944.0,44881.0,190.413046756,5151051776.0,85500.0,1437.295558677,7175.53,1073741824.0,208421108.0,0.0,0.0,59175.0,4284848.0,0.0,0.0,49493.0,0.0,2176.0,17955719.0,1179598848.0,232341504.0,774270976.0,25.02607792042962,11.0,697.51
10,52910.0,9.056328296,933970944.0,44881.0,190.413046756,5151051776.0,85500.0,1437.295558677,7178.89,1073741824.0,208422354.0,0.0,0.0,59198.0,4286264.0,0.0,0.0,49519.0,0.0,2176.0,17955719.0,1179598848.0,232374272.0,774303744.0,25.022904941518032,15.0,697.58
